Unnamed: 0,Location,Year,Month,Day,Latitude,Longitude,Country,Region_HiMAP,Type,Impact,Fatalities,Injured,Livestock,Leisure,Remarks,Reference
259,"Panjai Mard, Maimai, Badakhshan",2019,1.0,14.0,37.87968282,71.1354013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
260,"Panjai Mard, Maimai, Badakhshan",2021,3.0,28.0,37.87968282,71.1354013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
261,"Mah-e-naw, Maimai, Badakhshan",2017,1.0,29.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
262,"Mah-e-naw, Maimai, Badakhshan",2017,1.0,30.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
263,"Mah-e-naw, Maimai, Badakhshan",2017,2.0,1.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
264,"Mah-e-naw, Maimai, Badakhshan",2017,2.0,17.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
265,"Mah-e-naw, Maimai, Badakhshan",2017,2.0,17.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
266,"Mah-e-naw, Maimai, Badakhshan",2017,2.0,16.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,Y,0,,10.0,,,AKAH-A
267,"Mah-e-naw, Maimai, Badakhshan",2017,2.0,18.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,Y,0,,23.0,,,AKAH-A
268,"Mah-e-naw, Maimai, Badakhshan",2019,4.0,4.0,38.37854808,71.13644111,Afghanistan,6.0,wet snow avalanche,Y,0,,10.0,,,AKAH-A
269,"Mah-e-naw, Maimai, Badakhshan",2020,2.0,19.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
270,"Mah-e-naw, Maimai, Badakhshan",2022,2.0,6.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
271,"Mah-e-naw, Maimai, Badakhshan",2022,3.0,10.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
272,"Mah-e-naw, Maimai, Badakhshan",2022,3.0,12.0,38.37854808,71.13644111,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
273,"Parabir, Maimai, Badakhshan",2015,2.0,26.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,Y,9,3.0,0.0,,3 persons injured,AKAH-A
274,"Parabir(Khizraw), Maimai, Badakhshan",2017,1.0,29.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
275,"Parabir, Maimai, Badakhshan",2017,1.0,30.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
276,"Rawand (Nusai), Nusai, Badakhshan",2017,1.0,30.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
277,"Parabir(Khizraw), Maimai, Badakhshan",2017,2.0,15.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
278,"Parabir, Maimai, Badakhshan",2017,2.0,18.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
